Method(Fix membership type),starcoder15b precision,starcoder15b recall,starcoder15b F1,starcoderbase7b precision,starcoderbase7b recall,starcoderbase7b F1,gptneox20b precision,gptneox20b recall,gptneox20b F1,gptj6b precision,gptj6b recall,gptj6b F1
CodeMI(Fix=0),0.3795,1,0.5502,0.3795,1,0.5502,0.2939,0.992,0.4535,0.2917,1,0.4517
AdvPromptMIA(Fix=0),0.4322,0.8734,0.5782,0.4307,0.8586,0.5736,0.3662,0.5426,0.4373,0.3173,0.8936,0.4683
Gotcha(Fix=0),0.6953,0.675,0.685,0.6782,0.6542,0.666,0.6888,0.7135,0.7009,0.7438,0.6639,0.7016
SynPrune(Fix=0),0.6495,0.7778,0.7079,0.605,0.8042,0.6905,0.4211,0.7692,0.5442,0.3271,0.9229,0.4831
zlib(Fix=0),0.6269,0.7,0.6614,0.5735,0.7562,0.6523,0.3852,0.7438,0.5075,0.3852,0.7025,0.4976
PPL(Fix=0),0.6199,0.7819,0.6915,0.5647,0.8458,0.6772,0.4556,0.6364,0.531,0.4154,0.7353,0.5309
Ours(Fix=0),0.7594,0.8093,0.7836,0.7548,0.8249,0.7883,0.7696,0.7903,0.7798,0.7879,0.7688,0.7782
CodeMI(Fix=1),0.5918,1,0.7435,0.5918,1,0.7435,0.5421,0.9933,0.7014,0.5458,1,0.7062
AdvPromptMIA(Fix=1),0.668,0.893,0.7643,0.634,0.8984,0.7434,0.5686,0.7785,0.6572,0.5931,0.9195,0.7211
Gotcha(Fix=1),0.8808,0.7348,0.8012,0.9028,0.7182,0.8,0.8786,0.7593,0.8146,0.9141,0.7222,0.8069
SynPrune(Fix=1),0.8323,0.7943,0.8129,0.8324,0.7956,0.8136,0.7558,0.8075,0.7808,0.6109,0.9012,0.7282
zlib(Fix=1),0.8313,0.7348,0.7801,0.8045,0.7956,0.8,0.7471,0.8025,0.7738,0.7468,0.7284,0.7375
PPL(Fix=1),0.8544,0.7714,0.8108,0.838,0.8287,0.8333,0.75,0.7407,0.7453,0.7724,0.7417,0.7568
Ours(Fix=1),0.8579,0.8307,0.8441,0.829,0.8556,0.8421,0.9291,0.8562,0.8912,0.9149,0.8431,0.8776
